stg-aem-lcom.origin.cepo-proxy.tms.aws.lexus.com	/.model.json	64666.66667
stg-aem-lcom.origin.cepo-proxy.tms.aws.lexus.com	/rest/lexus/offers?zip=12196&offerCategory=NEW&experience=offers	60000	[]
stg-aem-lcom.origin.cepo-proxy.tms.aws.lexus.com	/rest/lexus/offers?zip=12196&offerCategory=NEW&featured=true&offerType=lease&modelFilter=ES%7C2020%7C9000%7C%7C&modelFilter=ES%7C2020%7C9002%7C%7C&modelFilter=ES%7C2020%7C9004%7C%7C&modelFilter=ES%7C2020%7C9005%7C%7C&modelFilter=ES%7C2021%7C9000%7C%7C&modelFilter=ES%7C2021%7C9002%7C%7C&modelFilter=ES%7C2021%7C9004%7C%7C&modelFilter=ES%7C2021%7C9005%7C%7C&modelFilter=ES%7C2021%7C9005SE%7C%7C&modelFilter=ES%7C2021%7C9012%7C%7C&modelFilter=ES%7C2021%7C9013%7C%7C&modelFilter=ES%7C2021%7C9014%7C%7C&modelFilter=ES%7C2021%7C9015%7C%7C&modelFilter=UX%7C%7C%7C%7C&modelFilter=NX%7C%7C%7C%7C	60000	[]
stg-aem-lcom.origin.cepo-proxy.tms.aws.lexus.com	/rest/lexus/offers?zip=64071&offerCategory=NEW&experience=offers	60000	[]
stg-aem-lcom.origin.cepo-proxy.tms.aws.lexus.com	/rest/lexus/offers?zip=64071&offerCategory=NEW&featured=true&offerType=lease&modelFilter=ES%7C2020%7C9000%7C%7C&modelFilter=ES%7C2020%7C9002%7C%7C&modelFilter=ES%7C2020%7C9004%7C%7C&modelFilter=ES%7C2020%7C9005%7C%7C&modelFilter=ES%7C2021%7C9000%7C%7C&modelFilter=ES%7C2021%7C9002%7C%7C&modelFilter=ES%7C2021%7C9004%7C%7C&modelFilter=ES%7C2021%7C9005%7C%7C&modelFilter=ES%7C2021%7C9005SE%7C%7C&modelFilter=ES%7C2021%7C9012%7C%7C&modelFilter=ES%7C2021%7C9013%7C%7C&modelFilter=ES%7C2021%7C9014%7C%7C&modelFilter=ES%7C2021%7C9015%7C%7C&modelFilter=UX%7C%7C%7C%7C&modelFilter=NX%7C%7C%7C%7C	60000	[]
stg-aem-lcom.origin.cepo-proxy.tms.aws.lexus.com	/rest/lexus/offers?zip=73072&offerCategory=NEW&experience=offers	60000	[]
stg-aem-lcom.origin.cepo-proxy.tms.aws.lexus.com	/rest/lexus/offers?zip=73072&offerCategory=NEW&featured=true&offerType=lease&modelFilter=ES%7C2020%7C9000%7C%7C&modelFilter=ES%7C2020%7C9002%7C%7C&modelFilter=ES%7C2020%7C9004%7C%7C&modelFilter=ES%7C2020%7C9005%7C%7C&modelFilter=ES%7C2021%7C9000%7C%7C&modelFilter=ES%7C2021%7C9002%7C%7C&modelFilter=ES%7C2021%7C9004%7C%7C&modelFilter=ES%7C2021%7C9005%7C%7C&modelFilter=ES%7C2021%7C9005SE%7C%7C&modelFilter=ES%7C2021%7C9012%7C%7C&modelFilter=ES%7C2021%7C9013%7C%7C&modelFilter=ES%7C2021%7C9014%7C%7C&modelFilter=ES%7C2021%7C9015%7C%7C&modelFilter=UX%7C%7C%7C%7C&modelFilter=NX%7C%7C%7C%7C	60000	[]
stg-aem-lcom.origin.cepo-proxy.tms.aws.lexus.com	/rest/lexus/offers?zip=89141&offerCategory=NEW&experience=offers	60000	[]
stg-aem-lcom.origin.cepo-proxy.tms.aws.lexus.com	/rest/lexus/offers?zip=89141&offerCategory=NEW&featured=true&offerType=lease&modelFilter=ES%7C2020%7C9000%7C%7C&modelFilter=ES%7C2020%7C9002%7C%7C&modelFilter=ES%7C2020%7C9004%7C%7C&modelFilter=ES%7C2020%7C9005%7C%7C&modelFilter=ES%7C2021%7C9000%7C%7C&modelFilter=ES%7C2021%7C9002%7C%7C&modelFilter=ES%7C2021%7C9004%7C%7C&modelFilter=ES%7C2021%7C9005%7C%7C&modelFilter=ES%7C2021%7C9005SE%7C%7C&modelFilter=ES%7C2021%7C9012%7C%7C&modelFilter=ES%7C2021%7C9013%7C%7C&modelFilter=ES%7C2021%7C9014%7C%7C&modelFilter=ES%7C2021%7C9015%7C%7C&modelFilter=UX%7C%7C%7C%7C&modelFilter=NX%7C%7C%7C%7C	60000	[]
stg-aem-lcom.origin.cepo-proxy.tms.aws.lexus.com	/rest/lexus/offers?zip=23112&offerCategory=NEW&experience=offers	60000	[]
stg-aem-lcom.origin.cepo-proxy.tms.aws.lexus.com	/rest/lexus/offers?zip=23112&offerCategory=NEW&featured=true&offerType=lease&modelFilter=ES%7C2020%7C9000%7C%7C&modelFilter=ES%7C2020%7C9002%7C%7C&modelFilter=ES%7C2020%7C9004%7C%7C&modelFilter=ES%7C2020%7C9005%7C%7C&modelFilter=ES%7C2021%7C9000%7C%7C&modelFilter=ES%7C2021%7C9002%7C%7C&modelFilter=ES%7C2021%7C9004%7C%7C&modelFilter=ES%7C2021%7C9005%7C%7C&modelFilter=ES%7C2021%7C9005SE%7C%7C&modelFilter=ES%7C2021%7C9012%7C%7C&modelFilter=ES%7C2021%7C9013%7C%7C&modelFilter=ES%7C2021%7C9014%7C%7C&modelFilter=ES%7C2021%7C9015%7C%7C&modelFilter=UX%7C%7C%7C%7C&modelFilter=NX%7C%7C%7C%7C	60000	[]
stg-aem-lcom.origin.cepo-proxy.tms.aws.lexus.com	/rest/lexus/offers?zip=54933&offerCategory=NEW&experience=offers	60000	[]
stg-aem-lcom.origin.cepo-proxy.tms.aws.lexus.com	/rest/lexus/offers?zip=54933&offerCategory=NEW&featured=true&offerType=lease&modelFilter=ES%7C2020%7C9000%7C%7C&modelFilter=ES%7C2020%7C9002%7C%7C&modelFilter=ES%7C2020%7C9004%7C%7C&modelFilter=ES%7C2020%7C9005%7C%7C&modelFilter=ES%7C2021%7C9000%7C%7C&modelFilter=ES%7C2021%7C9002%7C%7C&modelFilter=ES%7C2021%7C9004%7C%7C&modelFilter=ES%7C2021%7C9005%7C%7C&modelFilter=ES%7C2021%7C9005SE%7C%7C&modelFilter=ES%7C2021%7C9012%7C%7C&modelFilter=ES%7C2021%7C9013%7C%7C&modelFilter=ES%7C2021%7C9014%7C%7C&modelFilter=ES%7C2021%7C9015%7C%7C&modelFilter=UX%7C%7C%7C%7C&modelFilter=NX%7C%7C%7C%7C	60000	[]
stg-aem-lcom.origin.cepo-proxy.tms.aws.lexus.com	/rest/lexus/offers?zip=28650&offerCategory=NEW&experience=offers	60000	[]
stg-aem-lcom.origin.cepo-proxy.tms.aws.lexus.com	/rest/lexus/offers?zip=28650&offerCategory=NEW&featured=true&offerType=lease&modelFilter=ES%7C2020%7C9000%7C%7C&modelFilter=ES%7C2020%7C9002%7C%7C&modelFilter=ES%7C2020%7C9004%7C%7C&modelFilter=ES%7C2020%7C9005%7C%7C&modelFilter=ES%7C2021%7C9000%7C%7C&modelFilter=ES%7C2021%7C9002%7C%7C&modelFilter=ES%7C2021%7C9004%7C%7C&modelFilter=ES%7C2021%7C9005%7C%7C&modelFilter=ES%7C2021%7C9005SE%7C%7C&modelFilter=ES%7C2021%7C9012%7C%7C&modelFilter=ES%7C2021%7C9013%7C%7C&modelFilter=ES%7C2021%7C9014%7C%7C&modelFilter=ES%7C2021%7C9015%7C%7C&modelFilter=UX%7C%7C%7C%7C&modelFilter=NX%7C%7C%7C%7C	60000	[]
stg-aem-lcom.origin.cepo-proxy.tms.aws.lexus.com	/rest/lexus/offers?zip=92254&offerCategory=NEW&experience=offers	60000	[]
stg-aem-lcom.origin.cepo-proxy.tms.aws.lexus.com	/rest/lexus/offers?zip=92254&offerCategory=NEW&featured=true&offerType=lease&modelFilter=ES%7C2020%7C9000%7C%7C&modelFilter=ES%7C2020%7C9002%7C%7C&modelFilter=ES%7C2020%7C9004%7C%7C&modelFilter=ES%7C2020%7C9005%7C%7C&modelFilter=ES%7C2021%7C9000%7C%7C&modelFilter=ES%7C2021%7C9002%7C%7C&modelFilter=ES%7C2021%7C9004%7C%7C&modelFilter=ES%7C2021%7C9005%7C%7C&modelFilter=ES%7C2021%7C9005SE%7C%7C&modelFilter=ES%7C2021%7C9012%7C%7C&modelFilter=ES%7C2021%7C9013%7C%7C&modelFilter=ES%7C2021%7C9014%7C%7C&modelFilter=ES%7C2021%7C9015%7C%7C&modelFilter=UX%7C%7C%7C%7C&modelFilter=NX%7C%7C%7C%7C	60000	[]
stg-aem-lcom.origin.cepo-proxy.tms.aws.lexus.com	/rest/lexus/offers?zip=21158&offerCategory=NEW&experience=offers	60000	[]
stg-aem-lcom.origin.cepo-proxy.tms.aws.lexus.com	/rest/lexus/offers?zip=21158&offerCategory=NEW&featured=true&offerType=lease&modelFilter=ES%7C2020%7C9000%7C%7C&modelFilter=ES%7C2020%7C9002%7C%7C&modelFilter=ES%7C2020%7C9004%7C%7C&modelFilter=ES%7C2020%7C9005%7C%7C&modelFilter=ES%7C2021%7C9000%7C%7C&modelFilter=ES%7C2021%7C9002%7C%7C&modelFilter=ES%7C2021%7C9004%7C%7C&modelFilter=ES%7C2021%7C9005%7C%7C&modelFilter=ES%7C2021%7C9005SE%7C%7C&modelFilter=ES%7C2021%7C9012%7C%7C&modelFilter=ES%7C2021%7C9013%7C%7C&modelFilter=ES%7C2021%7C9014%7C%7C&modelFilter=ES%7C2021%7C9015%7C%7C&modelFilter=UX%7C%7C%7C%7C&modelFilter=NX%7C%7C%7C%7C	60000	[]
stg-aem-lcom.origin.cepo-proxy.tms.aws.lexus.com	/rest/lexus/offers?zip=68106&offerCategory=NEW&experience=offers	60000	[]
stg-aem-lcom.origin.cepo-proxy.tms.aws.lexus.com	/rest/lexus/offers?zip=68106&offerCategory=NEW&featured=true&offerType=lease&modelFilter=ES%7C2020%7C9000%7C%7C&modelFilter=ES%7C2020%7C9002%7C%7C&modelFilter=ES%7C2020%7C9004%7C%7C&modelFilter=ES%7C2020%7C9005%7C%7C&modelFilter=ES%7C2021%7C9000%7C%7C&modelFilter=ES%7C2021%7C9002%7C%7C&modelFilter=ES%7C2021%7C9004%7C%7C&modelFilter=ES%7C2021%7C9005%7C%7C&modelFilter=ES%7C2021%7C9005SE%7C%7C&modelFilter=ES%7C2021%7C9012%7C%7C&modelFilter=ES%7C2021%7C9013%7C%7C&modelFilter=ES%7C2021%7C9014%7C%7C&modelFilter=ES%7C2021%7C9015%7C%7C&modelFilter=UX%7C%7C%7C%7C&modelFilter=NX%7C%7C%7C%7C	60000	[]
stg-aem-lcom.origin.cepo-proxy.tms.aws.lexus.com	/rest/lexus/offers?zip=35957&offerCategory=NEW&experience=offers	60000	[]
